ID: 382918187, Name: ⚡ v2.60.0: Full Performance Pass, Tag: v2.60.0, Draft: True
ID: 388497841, Name: 👅 v4.8.5: The Taste Test Update, Tag: v4.8.5, Draft: False
ID: 388496452, Name: 😵‍💫 v4.8.4: The Logic-Defying Update, Tag: v4.8.4, Draft: False
ID: 388495022, Name: 🎛️ v4.8.3: Prismatic Toggle, Tag: v4.8.3, Draft: False
ID: 388467285, Name: 🌈 v4.8.2: The Prismatic Protocol, Tag: v4.8.2, Draft: False
ID: 388409786, Name: 🔥 v4.8.1: The Unhinged Warzone Update, Tag: v4.8.1, Draft: False
ID: 388404665, Name: 🚓 v4.8.0: The Realism Update, Tag: v4.8.0, Draft: False
ID: 388395699, Name: 🤪 v4.7.9: The Absurdity Update, Tag: v4.7.9, Draft: False
ID: 388383651, Name: 🔧 v4.7.8: Critical HTML Tab Fix, Tag: v4.7.8, Draft: False
ID: 388377147, Name: 🔧 v4.7.7: Critical Tab UI Fix, Tag: v4.7.7, Draft: False
ID: 388369163, Name: 📊 v4.7.6: Citizen-Aware Public Opinion, Tag: v4.7.6, Draft: False
ID: 388085113, Name: 🔄 v4.7.5: Global Version Sync, Tag: v4.7.5, Draft: False
ID: 388084657, Name: 📊 v4.7.4: Database Layout Adjustment, Tag: v4.7.4, Draft: False
ID: 388083726, Name: 📊 v4.7.3: Public Opinion & Trust Ratings, Tag: v4.7.3, Draft: False
ID: 388082125, Name: 🔧 v4.7.2: Modal Alignment Hotfix, Tag: v4.7.2, Draft: False
ID: 388081662, Name: 📁 v4.7.1: Project Reorganization, Tag: v4.7.1, Draft: False
ID: 388081113, Name: 🚔 v4.7.0: Arrest Authorization & Corruption, Tag: v4.7.0, Draft: False
ID: 388080555, Name: 💰 v4.6.9: Extreme Threat Bounties, Tag: v4.6.9, Draft: False
ID: 388079925, Name: 🔧 v4.6.8: Configuration Toggle Patch, Tag: v4.6.8, Draft: False
ID: 388078329, Name: ☣️ v4.6.7: Extreme Real-World Crimes, Tag: v4.6.7, Draft: False
ID: 388077991, Name: 📚 v4.6.6: README Synchronization, Tag: v4.6.6, Draft: False
ID: 388077686, Name: 🔧 v4.6.5: Terminal Crash Hotfix, Tag: v4.6.5, Draft: False
ID: 388075716, Name: ⚙️ v4.6.4: Lethal Force Toggle, Tag: v4.6.4, Draft: False
ID: 388075076, Name: 👥 v4.6.3: Unsanctioned Gatherings, Tag: v4.6.3, Draft: False
